Field Name,Description
geoid,Tract GEOID
gisjoin,Tract GISJOIN
state_fips,State FIPS Code
state_name,State Name
state_abbr,State Abbreviation
county_name,County Name
county_fips,County FIPS Code
tract_fips,Tract FIPS Code
area_km2,Tract Area (sq.km)
centroid_x,Tract Centroid Longitude
centroid_y,Tract Centroid Latitude
very_low_mf_own_hh,Very Low Income (0-30% AMI) - Multi-Family - Owner-Occupied - Household Count
very_low_mf_rent_hh,Very Low Income (0-30% AMI) - Multi-Family - Renter-Occupied - Household Count
very_low_sf_own_hh,Very Low Income (0-30% AMI) - Single-Family - Owner-Occupied - Household Count
very_low_sf_rent_hh,Very Low Income (0-30% AMI) - Single-Family - Renter-Occupied - Household Count
low_mf_own_hh,Low Income (30-50% AMI) - Multi-Family - Owner-Occupied - Household Count
low_mf_rent_hh,Low Income (30-50% AMI) - Multi-Family - Renter-Occupied - Household Count
low_sf_own_hh,Low Income (30-50% AMI) - Single-Family - Owner-Occupied - Household Count
low_sf_rent_hh,Low Income (30-50% AMI) - Single-Family - Renter-Occupied - Household Count
mod_mf_own_hh,Moderate Income (50-80% AMI) - Multi-Family - Owner-Occupied - Household Count
mod_mf_rent_hh,Moderate Income (50-80% AMI) - Multi-Family - Renter-Occupied - Household Count
mod_sf_own_hh,Moderate Income (50-80% AMI) - Single-Family - Owner-Occupied - Household Count
mod_sf_rent_hh,Moderate Income (50-80% AMI) - Single-Family - Renter-Occupied - Household Count
mid_mf_own_hh,Middle Income (80-120% AMI) - Multi-Family - Owner-Occupied - Household Count
mid_mf_rent_hh,Middle Income (80-120% AMI) - Multi-Family - Renter-Occupied - Household Count
mid_sf_own_hh,Middle Income (80-120% AMI) - Single-Family - Owner-Occupied - Household Count
mid_sf_rent_hh,Middle Income (80-120% AMI) - Single-Family - Renter-Occupied - Household Count
high_mf_own_hh,High Income (>120% AMI) - Multi-Family - Owner-Occupied - Household Count
high_mf_rent_hh,High Income (>120% AMI) - Multi-Family - Renter-Occupied - Household Count
high_sf_own_hh,High Income (>120% AMI) - Single-Family - Owner-Occupied - Household Count
high_sf_rent_hh,High Income (>120% AMI) - Single-Family - Renter-Occupied - Household Count
very_low_mf_own_bldg_cnt,Very Low Income (0-30% AMI) - Multi-Family - Owner-Occupied - Suitable Building Count
very_low_mf_rent_bldg_cnt,Very Low Income (0-30% AMI) - Multi-Family - Renter-Occupied - Suitable Building Count
very_low_sf_own_bldg_cnt,Very Low Income (0-30% AMI) - Single-Family - Owner-Occupied - Suitable Building Count
very_low_sf_rent_bldg_cnt,Very Low Income (0-30% AMI) - Single-Family - Renter-Occupied - Suitable Building Count
low_mf_own_bldg_cnt,Low Income (30-50% AMI) - Multi-Family - Owner-Occupied - Suitable Building Count
low_mf_rent_bldg_cnt,Low Income (30-50% AMI) - Multi-Family - Renter-Occupied - Suitable Building Count
low_sf_own_bldg_cnt,Low Income (30-50% AMI) - Single-Family - Owner-Occupied - Suitable Building Count
low_sf_rent_bldg_cnt,Low Income (30-50% AMI) - Single-Family - Renter-Occupied - Suitable Building Count
mod_mf_own_bldg_cnt, Moderate Income (50-80% AMI) - Multi-Family - Owner-Occupied - Suitable Building Count
mod_mf_rent_bldg_cnt,Moderate Income (50-80% AMI) - Multi-Family - Renter-Occupied - Suitable Building Count
mod_sf_own_bldg_cnt,Moderate Income (50-80% AMI) - Single-Family - Owner-Occupied - Suitable Building Count
mod_sf_rent_bldg_cnt,Moderate Income (50-80% AMI) - Single-Family - Renter-Occupied - Suitable Building Count
mid_mf_own_bldg_cnt,Middle Income (80-120% AMI) - Multi-Family - Owner-Occupied - Suitable Building Count
mid_mf_rent_bldg_cnt,Middle Income (80-120% AMI) - Multi-Family - Renter-Occupied - Suitable Building Count
mid_sf_own_bldg_cnt,Middle Income (80-120% AMI) - Single-Family - Owner-Occupied - Suitable Building Count
mid_sf_rent_bldg_cnt,Middle Income (80-120% AMI) - Single-Family - Renter-Occupied - Suitable Building Count
high_mf_own_bldg_cnt,High Income (>120% AMI) - Multi-Family - Owner-Occupied - Suitable Building Count
high_mf_rent_bldg_cnt,High Income (>120% AMI) - Multi-Family - Renter-Occupied - Suitable Building Count
high_sf_own_bldg_cnt,High Income (>120% AMI) - Single-Family - Owner-Occupied - Suitable Building Count
high_sf_rent_bldg_cnt,High Income (>120% AMI) - Single-Family - Renter-Occupied - Suitable Building Count
very_low_mf_own_devp_cnt,Very Low Income (0-30% AMI) - Multi-Family - Owner-Occupied - Developable Plane Count
very_low_mf_rent_devp_cnt,Very Low Income (0-30% AMI) - Multi-Family - Renter-Occupied - Developable Plane Count
very_low_sf_own_devp_cnt,Very Low Income (0-30% AMI) - Single-Family - Owner-Occupied - Developable Plane Count
very_low_sf_rent_devp_cnt,Very Low Income (0-30% AMI) - Single-Family - Renter-Occupied - Developable Plane Count
low_mf_own_devp_cnt,Low Income (30-50% AMI) - Multi-Family - Owner-Occupied - Developable Plane Count
low_mf_rent_devp_cnt,Low Income (30-50% AMI) - Multi-Family - Renter-Occupied - Developable Plane Count
low_sf_own_devp_cnt,Low Income (30-50% AMI) - Single-Family - Owner-Occupied - Developable Plane Count
low_sf_rent_devp_cnt,Low Income (30-50% AMI) - Single-Family - Renter-Occupied - Developable Plane Count
mod_mf_own_devp_cnt,Moderate Income (50-80% AMI) - Multi-Family - Owner-Occupied - Developable Plane Count
mod_mf_rent_devp_cnt,Moderate Income (50-80% AMI) - Multi-Family - Renter-Occupied - Developable Plane Count
mod_sf_own_devp_cnt,Moderate Income (50-80% AMI) - Single-Family - Owner-Occupied - Developable Plane Count
mod_sf_rent_devp_cnt,Moderate Income (50-80% AMI) - Single-Family - Renter-Occupied - Developable Plane Count
mid_mf_own_devp_cnt,Middle Income (80-120% AMI) - Multi-Family - Owner-Occupied - Developable Plane Count
mid_mf_rent_devp_cnt,Middle Income (80-120% AMI) - Multi-Family - Renter-Occupied - Developable Plane Count
mid_sf_own_devp_cnt,Middle Income (80-120% AMI) - Single-Family - Owner-Occupied - Developable Plane Count
mid_sf_rent_devp_cnt,Middle Income (80-120% AMI) - Single-Family - Renter-Occupied - Developable Plane Count
high_mf_own_devp_cnt,High Income (>120% AMI) - Multi-Family - Owner-Occupied - Developable Plane Count
high_mf_rent_devp_cnt,High Income (>120% AMI) - Multi-Family - Renter-Occupied - Developable Plane Count
high_sf_own_devp_cnt,High Income (>120% AMI) - Single-Family - Owner-Occupied - Developable Plane Count
