"Series Key",ELEC.GEN.SUN-AL-99.M,"Series Key",ELEC.GEN.DPV-AL-99.M,"Series Key",ELEC.GEN.DPV-AK-99.M,"Series Key",ELEC.GEN.SUN-AZ-99.M,"Series Key",ELEC.GEN.DPV-AZ-99.M,"Series Key",ELEC.GEN.SUN-AR-99.M,"Series Key",ELEC.GEN.DPV-AR-99.M,"Series Key",ELEC.GEN.SUN-CA-99.M,"Series Key",ELEC.GEN.DPV-CA-99.M,"Series Key",ELEC.GEN.SUN-CO-99.M,"Series Key",ELEC.GEN.DPV-CO-99.M,"Series Key",ELEC.GEN.SUN-CT-99.M,"Series Key",ELEC.GEN.DPV-CT-99.M,"Series Key",ELEC.GEN.SUN-DE-99.M,"Series Key",ELEC.GEN.DPV-DE-99.M,"Series Key",ELEC.GEN.DPV-DC-99.M,"Series Key",ELEC.GEN.SUN-FL-99.M,"Series Key",ELEC.GEN.DPV-FL-99.M,"Series Key",ELEC.GEN.SUN-GA-99.M,"Series Key",ELEC.GEN.DPV-GA-99.M,"Series Key",ELEC.GEN.SUN-HI-99.M,"Series Key",ELEC.GEN.DPV-HI-99.M,"Series Key",ELEC.GEN.SUN-ID-99.M,"Series Key",ELEC.GEN.DPV-ID-99.M,"Series Key",ELEC.GEN.SUN-IL-99.M,"Series Key",ELEC.GEN.DPV-IL-99.M,"Series Key",ELEC.GEN.SUN-IN-99.M,"Series Key",ELEC.GEN.DPV-IN-99.M,"Series Key",ELEC.GEN.SUN-IA-99.M,"Series Key",ELEC.GEN.DPV-IA-99.M,"Series Key",ELEC.GEN.SUN-KS-99.M,"Series Key",ELEC.GEN.DPV-KS-99.M,"Series Key",ELEC.GEN.SUN-KY-99.M,"Series Key",ELEC.GEN.DPV-KY-99.M,"Series Key",ELEC.GEN.SUN-LA-99.M,"Series Key",ELEC.GEN.DPV-LA-99.M,"Series Key",ELEC.GEN.SUN-ME-99.M,"Series Key",ELEC.GEN.DPV-ME-99.M,"Series Key",ELEC.GEN.SUN-MD-99.M,"Series Key",ELEC.GEN.DPV-MD-99.M,"Series Key",ELEC.GEN.SUN-MA-99.M,"Series Key",ELEC.GEN.DPV-MA-99.M,"Series Key",ELEC.GEN.SUN-MI-99.M,"Series Key",ELEC.GEN.DPV-MI-99.M,"Series Key",ELEC.GEN.SUN-MN-99.M,"Series Key",ELEC.GEN.DPV-MN-99.M,"Series Key",ELEC.GEN.SUN-MS-99.M,"Series Key",ELEC.GEN.DPV-MS-99.M,"Series Key",ELEC.GEN.SUN-MO-99.M,"Series Key",ELEC.GEN.DPV-MO-99.M,"Series Key",ELEC.GEN.SUN-MT-99.M,"Series Key",ELEC.GEN.DPV-MT-99.M,"Series Key",ELEC.GEN.SUN-NE-99.M,"Series Key",ELEC.GEN.DPV-NE-99.M,"Series Key",ELEC.GEN.SUN-NV-99.M,"Series Key",ELEC.GEN.DPV-NV-99.M,"Series Key",ELEC.GEN.DPV-NH-99.M,"Series Key",ELEC.GEN.SUN-NJ-99.M,"Series Key",ELEC.GEN.DPV-NJ-99.M,"Series Key",ELEC.GEN.SUN-NM-99.M,"Series Key",ELEC.GEN.DPV-NM-99.M,"Series Key",ELEC.GEN.SUN-NY-99.M,"Series Key",ELEC.GEN.DPV-NY-99.M,"Series Key",ELEC.GEN.SUN-NC-99.M,"Series Key",ELEC.GEN.DPV-NC-99.M,"Series Key",ELEC.GEN.DPV-ND-99.M,"Series Key",ELEC.GEN.SUN-OH-99.M,"Series Key",ELEC.GEN.DPV-OH-99.M,"Series Key",ELEC.GEN.SUN-OK-99.M,"Series Key",ELEC.GEN.DPV-OK-99.M,"Series Key",ELEC.GEN.SUN-OR-99.M,"Series Key",ELEC.GEN.DPV-OR-99.M,"Series Key",ELEC.GEN.SUN-PA-99.M,"Series Key",ELEC.GEN.DPV-PA-99.M,"Series Key",ELEC.GEN.SUN-RI-99.M,"Series Key",ELEC.GEN.DPV-RI-99.M,"Series Key",ELEC.GEN.SUN-SC-99.M,"Series Key",ELEC.GEN.DPV-SC-99.M,"Series Key",ELEC.GEN.SUN-SD-99.M,"Series Key",ELEC.GEN.DPV-SD-99.M,"Series Key",ELEC.GEN.SUN-TN-99.M,"Series Key",ELEC.GEN.DPV-TN-99.M,"Series Key",ELEC.GEN.SUN-TX-99.M,"Series Key",ELEC.GEN.DPV-TX-99.M,"Series Key",ELEC.GEN.SUN-UT-99.M,"Series Key",ELEC.GEN.DPV-UT-99.M,"Series Key",ELEC.GEN.SUN-VT-99.M,"Series Key",ELEC.GEN.DPV-VT-99.M,"Series Key",ELEC.GEN.SUN-VA-99.M,"Series Key",ELEC.GEN.DPV-VA-99.M,"Series Key",ELEC.GEN.SUN-WA-99.M,"Series Key",ELEC.GEN.DPV-WA-99.M,"Series Key",ELEC.GEN.DPV-WV-99.M,"Series Key",ELEC.GEN.SUN-WI-99.M,"Series Key",ELEC.GEN.DPV-WI-99.M
"Series Name","Net generation : all utility-scale solar : Alabama : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Alabama : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Alaska : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Arizona : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Arizona : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Arkansas : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Arkansas : all sectors : monthly","Series Name","Net generation : all utility-scale solar : California : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : California : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Colorado : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Colorado : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Connecticut : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Connecticut : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Delaware : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Delaware : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : District Of Columbia : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Florida : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Florida : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Georgia : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Georgia : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Hawaii : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Hawaii : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Idaho : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Idaho : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Illinois : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Illinois : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Indiana : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Indiana : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Iowa : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Iowa : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Kansas : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Kansas : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Kentucky : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Kentucky : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Louisiana : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Louisiana : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Maine : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Maine : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Maryland : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Maryland : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Massachusetts : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Massachusetts : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Michigan : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Michigan : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Minnesota : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Minnesota : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Mississippi : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Mississippi : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Missouri : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Missouri : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Montana : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Montana : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Nebraska : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Nebraska : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Nevada : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Nevada : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : New Hampshire : all sectors : monthly","Series Name","Net generation : all utility-scale solar : New Jersey : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : New Jersey : all sectors : monthly","Series Name","Net generation : all utility-scale solar : New Mexico : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : New Mexico : all sectors : monthly","Series Name","Net generation : all utility-scale solar : New York : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : New York : all sectors : monthly","Series Name","Net generation : all utility-scale solar : North Carolina : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : North Carolina : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : North Dakota : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Ohio : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Ohio : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Oklahoma : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Oklahoma : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Oregon : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Oregon : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Pennsylvania : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Pennsylvania : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Rhode Island : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Rhode Island : all sectors : monthly","Series Name","Net generation : all utility-scale solar : South Carolina : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : South Carolina : all sectors : monthly","Series Name","Net generation : all utility-scale solar : South Dakota : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : South Dakota : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Tennessee : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Tennessee : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Texas : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Texas : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Utah : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Utah : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Vermont : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Vermont : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Virginia : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Virginia : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Washington : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Washington : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : West Virginia : all sectors : monthly","Series Name","Net generation : all utility-scale solar : Wisconsin : all sectors : monthly","Series Name","Net generation : small-scale solar photovoltaic : Wisconsin : all sectors : monthly"
Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours"
Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M
"Start Date",201609,"Start Date",201401,"Start Date",201601,"Start Date",200101,"Start Date",201401,"Start Date",201512,"Start Date",201401,"Start Date",200101,"Start Date",201401,"Start Date",200701,"Start Date",201401,"Start Date",201312,"Start Date",201401,"Start Date",201101,"Start Date",201401,"Start Date",201401,"Start Date",200910,"Start Date",201401,"Start Date",201201,"Start Date",201401,"Start Date",200801,"Start Date",201401,"Start Date",201608,"Start Date",201401,"Start Date",200901,"Start Date",201401,"Start Date",201201,"Start Date",201401,"Start Date",201611,"Start Date",201401,"Start Date",201502,"Start Date",201401,"Start Date",201605,"Start Date",201401,"Start Date",201701,"Start Date",201401,"Start Date",201701,"Start Date",201401,"Start Date",201012,"Start Date",201401,"Start Date",200801,"Start Date",201401,"Start Date",201504,"Start Date",201401,"Start Date",201201,"Start Date",201401,"Start Date",201612,"Start Date",201401,"Start Date",201403,"Start Date",201401,"Start Date",201704,"Start Date",201401,"Start Date",201606,"Start Date",201401,"Start Date",200701,"Start Date",201401,"Start Date",201401,"Start Date",200801,"Start Date",201401,"Start Date",201010,"Start Date",201401,"Start Date",201111,"Start Date",201401,"Start Date",200801,"Start Date",201401,"Start Date",201401,"Start Date",201001,"Start Date",201401,"Start Date",201508,"Start Date",201401,"Start Date",201101,"Start Date",201401,"Start Date",200801,"Start Date",201401,"Start Date",201305,"Start Date",201401,"Start Date",201312,"Start Date",201401,"Start Date",201609,"Start Date",201401,"Start Date",201201,"Start Date",201401,"Start Date",200101,"Start Date",201401,"Start Date",201205,"Start Date",201401,"Start Date",201101,"Start Date",201401,"Start Date",200101,"Start Date",201401,"Start Date",200801,"Start Date",201401,"Start Date",201401,"Start Date",201401,"Start Date",201401
"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908,"End Date",201908
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

201908,40.62006,201908,,201908,0.56886,201908,563.78063,201908,239.4176,201908,23.88443,201908,3.7105,201908,3264.79053,201908,1578.67924,201908,133.00905,201908,62.6457,201908,17.02143,201908,65.93327,201908,5.48469,201908,12.64088,201908,8.62534,201908,331.03744,201908,64.1142,201908,212.64243,201908,,201908,23.29575,201908,106.23269,201908,62.73728,201908,6.86352,201908,7.25904,201908,22.03577,201908,36.47928,201908,14.00764,201908,,201908,17.31085,201908,,201908,3.96492,201908,4.36203,201908,4.23816,201908,,201908,23.10392,201908,,201908,8.43487,201908,53.27522,201908,104.1333,201908,125.25348,201908,233.55002,201908,18.38947,201908,13.00173,201908,175.29059,201908,11.48965,201908,30.21346,201908,1.35153,201908,11.19631,201908,32.19281,201908,3.60423,201908,2.82503,201908,3.27032,201908,1.54407,201908,510.68184,201908,69.72046,201908,14.17037,201908,127.902,201908,227.88399,201908,147.95238,201908,27.17211,201908,65.17233,201908,203.07887,201908,771.88694,201908,26.71487,201908,0.08268,201908,17.62078,201908,21.78391,201908,6.60855,201908,1.96177,201908,74.6325,201908,32.51204,201908,9.74328,201908,52.0436,201908,7.34931,201908,20.3522,201908,76.06009,201908,31.68724,201908,,201908,0.13233,201908,37.73409,201908,9.55995,201908,462.48697,201908,101.44406,201908,236.42762,201908,46.18723,201908,16.8425,201908,17.20496,201908,89.87686,201908,13.24099,201908,,201908,26.64094,201908,1.2763,201908,4.46311,201908,11.20898
201907,44.35952,201907,,201907,0.60863,201907,554.86869,201907,246.44557,201907,22.79582,201907,3.72175,201907,3331.50941,201907,1629.52447,201907,137.79348,201907,66.14767,201907,18.09061,201907,70.64912,201907,5.89466,201907,13.81864,201907,8.88462,201907,356.56619,201907,64.89606,201907,225.31245,201907,,201907,24.19852,201907,109.25528,201907,64.3189,201907,6.83559,201907,7.98774,201907,21.8599,201907,39.35551,201907,14.46554,201907,,201907,18.55106,201907,,201907,4.09447,201907,4.66056,201907,4.21092,201907,,201907,23.49349,201907,,201907,8.63033,201907,59.16526,201907,115.10801,201907,135.69754,201907,248.10271,201907,19.4748,201907,13.50585,201907,181.66919,201907,12.386,201907,32.80745,201907,1.35807,201907,12.25234,201907,34.95123,201907,3.77106,201907,2.95519,201907,3.72978,201907,1.63793,201907,524.53285,201907,69.82319,201907,14.63447,201907,138.50005,201907,248.12544,201907,152.84324,201907,27.65075,201907,65.65832,201907,214.79603,201907,826.25485,201907,26.94122,201907,0.08803,201907,18.79083,201907,23.06526,201907,7.03692,201907,2.02533,201907,77.90261,201907,34.58311,201907,9.84644,201907,55.95775,201907,7.00653,201907,19.43098,201907,90.49046,201907,33.42295,201907,,201907,0.13421,201907,38.54207,201907,9.60452,201907,487.4278,201907,103.23987,201907,242.894,201907,47.68478,201907,18.1432,201907,17.87402,201907,99.5301,201907,13.30597,201907,4.75512,201907,28.00303,201907,1.27424,201907,4.74101,201907,11.99861
201906,42.53739,201906,,201906,0.60093,201906,592.78655,201906,259.95272,201906,21.49217,201906,3.48681,201906,3294.45403,201906,1563.42781,201906,136.60414,201906,65.40398,201906,17.44819,201906,64.35389,201906,5.57608,201906,13.34829,201906,8.5001,201906,349.64046,201906,61.76614,201906,218.82922,201906,30.22653,201906,22.94412,201906,99.82173,201906,65.69922,201906,6.15338,201906,7.07028,201906,18.89227,201906,35.7314,201906,13.76511,201906,,201906,16.77556,201906,,201906,3.82027,201906,4.21967,201906,4.15261,201906,,201906,23.48833,201906,,201906,7.85914,201906,54.96384,201906,112.66368,201906,126.09549,201906,227.48544,201906,17.74064,201906,12.40279,201906,176.72542,201906,11.02863,201906,31.90403,201906,1.35786,201906,11.75725,201906,29.79311,201906,3.70413,201906,2.58728,201906,3.53977,201906,1.53168,201906,525.54975,201906,69.42893,201906,13.39355,201906,128.77473,201906,236.23213,201906,154.87737,201906,28.2012,201906,62.11463,201906,201.01867,201906,771.08027,201906,26.68727,201906,0.07745,201906,14.95447,201906,22.07907,201906,6.84786,201906,1.85107,201906,78.14772,201906,30.90503,201906,8.95816,201906,53.35206,201906,6.73216,201906,18.03393,201906,72.69667,201906,32.65926,201906,,201906,0.12524,201906,37.59715,201906,9.73551,201906,466.40609,201906,97.87132,201906,245.63904,201906,46.56403,201906,17.12693,201906,17.01673,201906,92.02731,201906,12.79133,201906,,201906,24.66157,201906,1.24215,201906,4.56226,201906,10.99054
